                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     54,                 1.3368,                 1.0331,                 1.6897,                 1.3698,                 1.2846,                 1.7089,                0.66191,                0.66667,                0.72435,                0.47205,                 1.2047,                 1.0198,                 1.7587,                 1.3437,                 1.3665,                 1.8711,              0.0014852,              0.0014852,              0.0014852
                     55,                 1.2897,                0.95559,                 1.6995,                 1.3635,                 1.2073,                 1.7372,                0.81687,                0.63333,                0.76089,                0.53448,                 1.1544,                0.95636,                 1.6939,                 1.2132,                  1.253,                 1.7487,              0.0014753,              0.0014753,              0.0014753
                     56,                  1.237,                 1.0191,                 1.6827,                 1.3606,                 1.3194,                 1.7775,                0.66786,                0.66667,                0.71674,                0.47869,                 1.1974,                 1.0928,                 1.7452,                 1.2657,                 1.3654,                 1.7672,              0.0014654,              0.0014654,              0.0014654
                     57,                 1.2799,                 1.0059,                 1.6767,                 1.3453,                  1.267,                 1.6999,                 0.7775,                    0.7,                0.77555,                0.47454,                 1.2197,                0.97869,                 1.7795,                 1.3751,                 1.3373,                 1.8657,              0.0014555,              0.0014555,              0.0014555
                     58,                  1.324,                 1.0059,                 1.6874,                 1.3428,                 1.2223,                  1.705,                0.79126,                0.75819,                0.85262,                0.48762,                 1.4629,                0.92294,                 1.9387,                 1.5633,                 1.0965,                  2.039,              0.0014456,              0.0014456,              0.0014456
                     59,                 1.2292,                 1.0569,                 1.6787,                 1.3128,                 1.3046,                 1.7507,                0.75305,                0.66078,                0.74288,                0.48564,                 1.1092,                 1.0519,                  1.708,                 1.2468,                 1.2922,                 1.8174,              0.0014357,              0.0014357,              0.0014357
                     60,                 1.2373,                 1.0002,                 1.6199,                 1.2998,                 1.2519,                 1.6722,                0.76996,                0.63333,                0.77573,                0.51476,                 1.1993,                 1.0678,                 1.7323,                 1.3472,                 1.2355,                 1.8527,              0.0014258,              0.0014258,              0.0014258
                     61,                 1.1958,                0.96232,                 1.6153,                 1.2713,                 1.2079,                 1.6862,                0.73933,                0.70915,                0.77109,                0.51537,                 1.1918,                0.89426,                 1.7665,                 1.2212,                 1.2319,                 1.8116,              0.0014159,              0.0014159,              0.0014159
                     62,                 1.1336,                 0.9148,                 1.5826,                 1.2157,                 1.1414,                 1.6059,                0.74715,                0.68333,                 0.8154,                0.53766,                 1.1971,                 0.8659,                 1.7233,                 1.2748,                 1.1088,                 1.7986,               0.001406,               0.001406,               0.001406
                     63,                 1.2224,                0.96408,                 1.6432,                  1.294,                  1.182,                 1.6831,                0.76866,                0.77535,                0.83997,                0.58323,                 1.1239,                0.85937,                  1.679,                 1.2072,                 1.0665,                 1.8141,              0.0013961,              0.0013961,              0.0013961
                     64,                 1.2491,                 1.0465,                  1.687,                 1.3209,                 1.3373,                 1.7531,                0.70245,                0.76667,                0.76847,                0.52274,                 1.1561,                0.89848,                 1.6642,                 1.1795,                  1.231,                 1.7436,              0.0013862,              0.0013862,              0.0013862
                     65,                 1.2078,                0.99747,                 1.6169,                  1.272,                  1.255,                 1.6401,                 0.7551,                0.77087,                0.82881,                0.58487,                 1.0863,                0.83167,                 1.6451,                 1.2106,                 1.0002,                 1.7503,              0.0013763,              0.0013763,              0.0013763
                     66,                 1.1633,                0.94759,                 1.5708,                 1.2622,                 1.1159,                 1.6321,                0.81026,                   0.75,                0.85743,                0.61386,                 1.0333,                0.71666,                  1.587,                 1.1312,                0.91368,                 1.6744,              0.0013664,              0.0013664,              0.0013664
                     67,                  1.192,                 0.9723,                  1.601,                 1.2758,                 1.2344,                 1.6328,                0.66391,                0.79022,                0.79754,                 0.5446,                 1.1638,                0.98188,                 1.6583,                  1.214,                 1.3648,                 1.7725,              0.0013565,              0.0013565,              0.0013565
                     68,                 1.1467,                0.87862,                 1.5647,                 1.2432,                 1.0771,                 1.6173,                0.79179,                0.88737,                0.86877,                0.60095,                 1.1588,                0.86706,                 1.6516,                  1.184,                 1.0284,                 1.7338,              0.0013466,              0.0013466,              0.0013466
                     69,                 1.1444,                0.87414,                 1.5255,                 1.2002,                 1.0835,                 1.5671,                0.85808,                0.80622,                0.88038,                0.57973,                 1.1428,                0.82104,                 1.6521,                 1.2413,                 1.0332,                 1.8021,              0.0013367,              0.0013367,              0.0013367
                     70,                  1.103,                 0.8974,                 1.5417,                 1.2045,                  1.141,                 1.6125,                0.84389,                0.73333,                0.87598,                0.61466,                 1.0483,                0.82677,                 1.5852,                 1.1647,                 1.0342,                 1.6846,              0.0013268,              0.0013268,              0.0013268
                     71,                 1.1861,                0.90403,                  1.572,                 1.2438,                 1.1325,                 1.6014,                0.83226,                    0.8,                 0.8694,                0.55616,                 1.1645,                0.81672,                 1.6948,                 1.2549,                 1.0248,                 1.7956,              0.0013169,              0.0013169,              0.0013169
                     72,                 1.1298,                0.90709,                 1.5508,                 1.1851,                 1.1397,                 1.5958,                 0.8142,                0.73333,                0.83802,                0.56027,                 1.1104,                0.77231,                 1.6023,                 1.1818,                 0.9689,                 1.7006,               0.001307,               0.001307,               0.001307
                     73,                 1.1357,                  0.862,                  1.485,                 1.2492,                 1.0274,                 1.5405,                0.67639,                0.83333,                0.81872,                0.56473,                 1.1263,                0.80463,                 1.5989,                 1.1819,                0.95536,                 1.6996,              0.0012971,              0.0012971,              0.0012971
                     74,                 1.0684,                0.82629,                 1.4722,                 1.1252,                  1.043,                 1.5348,                0.79479,                0.81667,                0.86455,                0.62463,                 1.0057,                0.77412,                 1.5384,                 1.0676,                0.93589,                 1.6469,              0.0012872,              0.0012872,              0.0012872
                     75,                 1.1099,                0.86642,                 1.5154,                 1.2083,                 1.0693,                 1.5975,                0.84778,                0.74265,                0.90432,                 0.6472,                 1.0281,                0.71681,                 1.5469,                 1.1255,                0.81686,                 1.6634,              0.0012773,              0.0012773,              0.0012773
